"#Compound List: 9080 found, 1566 shown, filtered on MS/MS Count"
#
Show/Hide,Label,Mass,RT,Avg Mass,Height,Area,Ion Polarity,Base Peak,Z Count,Saturated,Algorithm,End,FV,Abund,MS/MS Count,File,Volume,Formula,Precursor,CE,m/z (Prod),Width,Max Z,Ions,Min Z,ID Source,ID Techniques Applied,Score,Start,Cpd,Name,Hit Count,CAS ID,HMP ID,KEGG ID,Lipid ID,METLIN ID,Swiss-Prot,Notes,Mass (Tgt),Diff (ppm),Score (Tgt),Flags (Tgt),Diff (mDa),RT (Tgt),Target Retention Time Difference,Score (Frag Coelution),FIs Conf.,FIs Conf. %,Score (Frag Ratio),FragMassDiff(ppm),FIs Eval.,Source,Flag Severity (Tgt),Vol %,Std Dev,Group,Cpds/Group,Score (MFE),Score (DB),Reference mass,Reference Retention Time,RT Diff,Hits (DB),Common Hit Count,Relative Reference Mass difference,Reference Mass difference
True,Cpd 111: 9.942,453.2854,9.942,,70294,312687,Positive,59.0602,1,,Find by Formula,10.139,,33826,6,PQC_Prfrd opt Iterative-r001.d,,,454.293,,,0.066,1,6,1,FBF,FBF,99.79,9.86,111,,1,,,,,,,,453.2852,0.41,99.79,,0.19,9.944,-0.002,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 150: 7.818,912.5079,7.818,,157260,633998,Positive,59.0602,1,,Find by Formula,8.089,,45004,6,PQC_Prfrd opt Iterative-r001.d,,,913.5153,,,0.057,1,5,1,FBF,FBF,99.79,7.706,150,,1,,,,,,,,912.5077,0.18,99.79,,0.16,7.826,-0.008,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 152: 8.645,314.2457,8.645,,102244,422669,Positive,59.0602,1,,Find by Formula,8.948,,46660,6,PQC_Prfrd opt Iterative-r001.d,,,315.2528,,,0.06,1,5,1,FBF,FBF,91.62,8.56,152,,1,,,,,,,,314.2456,0.2,91.62,,0.06,8.655,-0.01,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 154: 9.848,484.2799,9.848,,47462,199272,Positive,59.0602,1,,Find by Formula,10.01,,21544,6,PQC_Prfrd opt Iterative-r001.d,,,485.2874,,,0.066,1,7,1,FBF,FBF,99.63,9.762,154,,1,,,,,,,,484.2799,0.03,99.63,,0.01,9.851,-0.003,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 181: 3.314,327.1321,3.314,,42291,326458,Positive,166.0864,1,,Find by Formula,3.732,,19480,6,PQC_Prfrd opt Iterative-r001.d,,,328.1393,,,0.113,1,3,1,FBF,FBF,89.92,3.224,181,,1,,,,,,,,327.1319,0.6,89.92,,0.2,3.315,-0.001,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 184: 10.067,328.2612,10.067,,48383,228079,Positive,496.3399,1,,Find by Formula,10.35,,7447,6,PQC_Prfrd opt Iterative-r001.d,,,346.2952,,,0.067,1,5,1,FBF,FBF,91.67,9.957,184,,1,,,,,,,,328.2612,-0.01,91.67,,0,10.076,-0.009,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 208: 10.230,510.2952,10.23,,27148,157884,Positive,59.0603,1,,Find by Formula,10.543,,10955,6,PQC_Prfrd opt Iterative-r001.d,,,511.3029,,,0.094,1,6,1,FBF,FBF,91.26,10.179,208,,1,,,,,,,,510.2953,-0.19,91.26,,-0.1,10.215,0.015,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 211: 5.513,610.2583,5.513,,84121,350532,Positive,59.0602,1,,Find by Formula,5.718,,22849,6,PQC_Prfrd opt Iterative-r001.d,,,611.2665,,,0.06,1,8,1,FBF,FBF,98.68,5.439,211,,1,,,,,,,,610.2589,-1,98.68,,-0.61,5.514,-0.001,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 251: 10.267,370.2724,10.267,,46008,302167,Positive,59.0602,1,,Find by Formula,10.51,,7624,6,PQC_Prfrd opt Iterative-r001.d,,,388.3057,,,0.081,1,6,1,FBF,FBF,91.04,10.199,251,,1,,,,,,,,370.2721,0.93,91.04,,0.34,10.274,-0.007,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 260: 11.343,432.3454,11.343,,31306,167345,Positive,59.0601,1,,Find by Formula,11.57,,6016,6,PQC_Prfrd opt Iterative-r001.d,,,455.3345,,,0.075,1,4,1,FBF,FBF,90.87,11.234,260,,1,,,,,,,,432.3457,-0.57,90.87,,-0.25,11.36,-0.017,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 292: 7.079,243.1832,7.079,,85656,337715,Positive,59.0602,1,,Find by Formula,7.396,,39080,6,PQC_Prfrd opt Iterative-r001.d,,,244.1906,,,0.058,1,3,1,FBF,FBF,91.58,7.009,292,,1,,,,,,,,243.1833,-0.25,91.58,,-0.06,7.087,-0.008,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 293: 8.982,414.2043,8.982,,79918,288065,Positive,59.0602,1,,Find by Formula,9.127,,13229,6,PQC_Prfrd opt Iterative-r001.d,,,415.2115,,,0.054,1,4,1,FBF,FBF,91.67,8.885,293,,1,,,,,,,,414.2044,-0.2,91.67,,-0.08,8.99,-0.008,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 361: 11.426,478.3652,11.426,,28951,114225,Positive,59.0602,1,,Find by Formula,11.497,,4905,6,PQC_Prfrd opt Iterative-r001.d,,,461.3623,,,0.062,1,5,1,FBF,FBF,91.72,11.345,361,,1,,,,,,,,478.3653,-0.35,91.72,,-0.17,11.425,0.001,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 368: 10.620,430.3218,10.62,,19103,108131,Positive,744.4856,1,,Find by Formula,10.963,,3823,6,PQC_Prfrd opt Iterative-r001.d,,,453.3154,,,0.079,1,6,1,FBF,FBF,79.11,10.563,368,,1,,,,,,,,430.325,-7.37,79.11,,-3.17,10.646,-0.026,,,,,,,,Pass,,,,,,,,,,,,,,
